fund,family,method,live_start,live_end,training_start,initial_training_observations,rebalances,periods_per_year,risk_free_rate,transaction_cost_bps,annual_turnover,gross_observations,gross_annualized_return,gross_arithmetic_annual_return,gross_annualized_volatility,gross_sharpe_ratio,gross_max_drawdown,gross_ending_growth,net_observations,net_annualized_return,net_arithmetic_annual_return,net_annualized_volatility,net_sharpe_ratio,net_max_drawdown,net_ending_growth,top_five_current_holdings
Combined Equal-Weight,combined,equal_weight,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,0.7864702433594676,753,0.15135261955180868,0.16433693011443068,0.2160038524438884,0.760805551637653,-0.2787245867171573,1.523689200315351,753,0.1504472672977264,0.1635495034375037,0.21600227004411637,0.7571656696205107,-0.2790304824945212,1.5201118576324932,ABBV 1.7%; ABT 1.7%; ADA-USD 1.7%; ADBE 1.7%; AEP 1.7%
Combined Maximum-Sharpe,combined,max_sharpe,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,2.0759203877547843,753,0.07276684547223033,0.12393268071035274,0.3274807044987353,0.3784426960362527,-0.4855359731216088,1.2335389574948055,753,0.07054183806068326,0.12183897644300867,0.32742853144931333,0.37210861223274194,-0.48635897220356195,1.2259097801245646,ABBV 20.0%; NVDA 20.0%; NUE 20.0%; GILD 10.0%; BTC-USD 8.8%
Combined Minimum-Variance,combined,min_variance,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,0.6988199101405695,753,0.07092772249210766,0.07662841935794794,0.127278712038321,0.6020521274199939,-0.17814934816896488,1.2272306564647086,753,0.07017941179354725,0.07592796320912512,0.1272686718067347,0.5965958639407064,-0.17835234209724582,1.2246700624148543,WMT 19.9%; MRK 12.8%; ABBV 11.9%; KO 10.2%; GILD 10.2%
Combined Risk Parity,combined,risk_parity,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,0.7140337026550816,753,0.12789096929429888,0.13558679889237096,0.17439198117440788,0.7774829896379917,-0.22384250767546743,1.432778746207901,753,0.1270857083511321,0.13487288985239157,0.1743955853668969,0.7733733028198124,-0.2240046346905673,1.4297242835154378,WMT 3.2%; GILD 3.1%; MRK 3.0%; NEM 2.9%; ABBV 2.8%
Crypto Equal-Weight,crypto,equal_weight,2021-01-01,2023-12-31,2020-01-02,365,36,365,0.0,10.0,1.0274310285227322,1095,0.4050471763369514,0.678707340651091,0.8189033644058297,0.8288002835884543,-0.815713088159332,2.7737845161866894,1095,0.4036040520249433,0.6776698914919258,0.8188926603664229,0.8275442244026152,-0.8158907064885418,2.7652464273225807,ADA-USD 10.0%; BCH-USD 10.0%; BTC-USD 10.0%; EOS-USD 10.0%; ETC-USD 10.0%
Crypto Maximum-Sharpe,crypto,max_sharpe,2021-01-01,2023-12-31,2020-01-02,365,36,365,0.0,10.0,1.2788910169906875,1095,0.40199384158337526,0.6356226223920638,0.7695249256736958,0.8259935463891509,-0.7802606076251302,2.7557404931344633,1095,0.40020167633186987,0.6343321880861601,0.7695113965586403,0.8243311157222359,-0.780434405394113,2.7451860276676374,ADA-USD 25.0%; ETH-USD 25.0%; TRX-USD 25.0%; BTC-USD 20.9%; XRP-USD 2.7%
Crypto Minimum-Variance,crypto,min_variance,2021-01-01,2023-12-31,2020-01-02,365,36,365,0.0,10.0,1.1295620427161888,1095,0.5374085905411754,0.7092274994242797,0.7431767588152357,0.9543187283667514,-0.7216429475560695,3.633857647741779,1095,0.5356726387788795,0.7080857979485635,0.7431622386259799,0.9528010993369783,-0.7217944099156497,3.6215621237243045,TRX-USD 25.0%; ETH-USD 25.0%; BTC-USD 25.0%; LTC-USD 10.8%; ADA-USD 5.7%
Crypto Risk Parity,crypto,risk_parity,2021-01-01,2023-12-31,2020-01-02,365,36,365,0.0,10.0,1.0331419067210719,1095,0.4179008947730196,0.6746319882210845,0.802599989644288,0.8405581820653663,-0.8047076609448848,2.8506088540059147,1095,0.41643647858285604,0.6735889389313446,0.8025892257013593,0.8392698498322289,-0.8048996004215143,2.84178559738901,BTC-USD 14.3%; TRX-USD 11.2%; ETH-USD 10.5%; LTC-USD 9.7%; ADA-USD 9.6%
Equity Equal-Weight,equity,equal_weight,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,0.6537190789736969,753,0.1264237978181748,0.1320533852449242,0.16117980666586584,0.8192923665597748,-0.20249210152511687,1.4272168148150326,753,0.1256874800485812,0.1314027565114941,0.16120156057568663,0.8151456849563096,-0.20263968448339997,1.4244309141705762,ABBV 2.0%; ABT 2.0%; ADBE 2.0%; AEP 2.0%; AMD 2.0%
Equity Maximum-Sharpe,equity,max_sharpe,2021-01-04,2023-12-29,2020-01-03,252,36,252,0.0,10.0,1.6748889874609656,753,0.10868403825118578,0.12340587036797286,0.20105266067677793,0.6137987428396492,-0.3596234771313388,1.36109976482723,753,0.1068283774517238,0.12172396848171774,0.20102209935955337,0.605525307264845,-0.3599409044996168,1.3543037797578144,ABBV 20.0%; NUE 20.0%; NVDA 20.0%; TMUS 14.2%; WMT 11.0%
