model,period,transaction_cost_bps,candidate_strength,discovery_selected_strength,observations,annualized_return,arithmetic_annual_return,annualized_volatility,sharpe_ratio,max_drawdown,ending_growth,turnover
Base,Full OOS,0,0.25,0.0,753,0.07092776336107343,0.0766284597658897,0.12727872963317147,0.6020523616690682,-0.1781491170129451,1.227230796408661,2.0881411661150473
Base,2023 holdout,0,0.25,0.0,250,0.05166650561587116,0.056372657365126706,0.10966779508832517,0.5140311001942258,-0.08588794854367654,1.0512461229209769,0.2659847030938715
Sentiment tilt,Full OOS,0,0.25,0.0,753,0.070926505396113,0.07657193980329939,0.1268442784082936,0.6036688510050511,-0.18088922976391975,1.2272264888763864,4.7914900332671655
Sentiment tilt,2023 holdout,0,0.25,0.0,250,0.05385951738638717,0.0585101515643218,0.11015315537329014,0.5311709080510761,-0.08442412254389497,1.053420842197608,1.0401478048559567
Base,Full OOS,5,0.25,0.0,753,0.07055358914570453,0.07627823155281717,0.12727336697321756,0.5993259498577466,-0.1782506184221908,1.2259499899333401,2.0881411661150473
Base,2023 holdout,5,0.25,0.0,250,0.051525531733335184,0.05623854057597909,0.1096674791874138,0.5128096404939835,-0.08591456091952432,1.0511063237086726,0.2659847030938715
Sentiment tilt,Full OOS,5,0.25,0.0,753,0.07006815535855582,0.07576851622078114,0.12683323188353685,0.5973869394919676,-0.18114436409778323,1.2242896653096869,4.7914900332671655
Sentiment tilt,2023 holdout,5,0.25,0.0,250,0.053307179900493606,0.05798597109394954,0.11015470644665112,0.5264048442817343,-0.0846540366485885,1.0528731152921924,1.0401478048559567
Base,Full OOS,10,0.25,0.0,753,0.07017945237598355,0.07592800333974489,0.12726868911713288,0.5965960981169837,-0.1783521099156289,1.2246702011846908,2.0881411661150473
Base,2023 holdout,10,0.25,0.0,250,0.05138457510533567,0.05610442378683158,0.10966717694699761,0.5115881100317462,-0.08594117290799996,1.0509665414584093,0.2659847030938715
Sentiment tilt,Full OOS,10,0.25,0.0,753,0.06921036410144876,0.0749650926382625,0.1268231212858779,0.5910995714202635,-0.1813994358772537,1.2213594287692895,4.7914900332671655
Sentiment tilt,2023 holdout,10,0.25,0.0,250,0.052755106387661455,0.05746179062357706,0.1101564681465311,0.5216379173226658,-0.08488390289939751,1.0523256478784617,1.0401478048559567
Base,Full OOS,25,0.25,0.0,753,0.06905726636313281,0.07487731870052791,0.12725876507199124,0.588386337539652,-0.17865652490829853,1.22083693426944,2.0881411661150473
Base,2023 holdout,25,0.25,0.0,250,0.05096180872940881,0.05570207341938963,0.10966635218982372,0.507923098627132,-0.08602100654920641,1.0505472964612224,0.2659847030938715
Sentiment tilt,Full OOS,25,0.25,0.0,753,0.06664033966107841,0.07255482189070765,0.1267984071907203,0.5722060986269042,-0.18216427600194618,1.212608101703786,4.7914900332671655
Sentiment tilt,2023 holdout,25,0.25,0.0,250,0.05110046854657413,0.055889249212459496,0.11016301689819558,0.507332231688137,-0.08557321460778078,1.0506848014765626,1.0401478048559567
Base,Full OOS,50,0.25,0.0,753,0.06718770172506816,0.07312617763516611,0.12725592594838714,0.5746386825618233,-0.17916368498044288,1.214468445069915,2.0881411661150473
Base,2023 holdout,50,0.25,0.0,250,0.05025754301505958,0.05503148947365245,0.10966525081397419,0.5018133735635428,-0.0861540548704699,1.0498488938662378,0.2659847030938715
Sentiment tilt,Full OOS,50,0.25,0.0,753,0.062368109943525374,0.06853770397811514,0.12677595239817804,0.540620698812436,-0.18343775950642405,1.1981529983830952,4.7914900332671655
Sentiment tilt,2023 holdout,50,0.25,0.0,250,0.04834800763038194,0.05326834686059631,0.11017814283416562,0.48347472094145794,-0.0867211111170354,1.047955236945921,1.0401478048559567
